file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\AnimalRace-master\src\StrategyPatternDemo.java,StrategyPatternDemo,class,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0
C:\AnimalRace-master\src\Racer.java,Racer$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
C:\AnimalRace-master\src\Bird.java,Bird,class,1,4,3,1,20,1,2,0,116,0.81250006,0.19473684,0.80526316,20,0,20,0,0,0,20,1,0,0,8,0,0,8,0,0,0,0,0,74,9,0,0,0,0,11,0,16,1,8,0,0,0,0,31,1025,0
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,class,4,6,2,4,21,1,0,39,37,0.7878789,0.04761905,0.04761905,11,1,7,4,0,0,7,0,0,0,9,0,0,0,0,9,0,0,4,146,1,3,2,4,0,20,27,46,3,39,3,1,0,0,77,1,0
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,class,1,2,1,1,6,3,0,7,4,0.4,0.3,0.3,5,0,5,0,0,0,5,0,0,0,1,1,0,1,0,0,0,0,1,32,3,0,0,1,0,1,0,6,0,6,1,0,0,0,31,1,0
C:\AnimalRace-master\src\FarmFactory.java,FarmFactory,class,5,7,2,5,8,2,0,1,10,0.8,0.0,0.0,5,1,4,1,0,0,4,0,0,1,1,1,0,1,0,0,0,0,0,26,5,0,2,0,0,1,0,1,0,1,1,0,0,0,20,1,0
C:\AnimalRace-master\src\Mammal.java,Mammal,class,1,4,3,1,20,1,2,0,116,0.81250006,0.19473684,0.80526316,20,0,20,0,0,0,20,1,0,0,8,0,0,8,0,0,0,0,0,74,9,0,0,0,0,11,0,16,1,8,0,0,0,0,31,1025,0
C:\AnimalRace-master\src\Racer.java,Racer,class,3,6,3,3,19,1,0,35,31,0.7749999,0.04761905,0.04761905,10,1,7,3,0,0,7,0,0,1,8,0,0,0,0,8,0,0,3,117,1,2,2,3,0,8,24,36,2,29,3,1,0,0,68,1,0
C:\AnimalRace-master\src\HumanSocietyCenter.java,HumanSocietyCenter$Button1,innerclass,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
C:\AnimalRace-master\src\HumanSocietyCenter.java,HumanSocietyCenter$Button2,innerclass,1,1,0,1,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,1,0,0,10,2,1,0,1,1,0,0,0,17,2,0
C:\AnimalRace-master\src\AbstractFactoryPatternDemo.java,AbstractFactoryPatternDemo,class,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,2,0,2,0,2,0,0,0,0,10,1,0
C:\AnimalRace-master\src\Dog.java,Dog,class,2,6,4,2,7,2,2,0,9,0.6666667,0.2857143,0.47619048,7,0,7,0,0,0,7,1,0,0,3,0,0,2,1,0,0,0,0,26,3,0,0,0,0,0,0,5,0,3,0,0,0,0,11,1025,0
C:\AnimalRace-master\src\Food.java,Food,class,0,2,2,0,9,1,0,0,12,0.6666667,0.33333334,1.0,9,0,9,0,0,0,9,0,0,0,4,0,0,4,0,0,0,0,0,36,4,0,0,0,0,0,0,8,0,4,0,0,0,0,13,1,0
C:\AnimalRace-master\src\Context.java,Context,class,1,2,1,1,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,0
C:\AnimalRace-master\src\RacerDecorator.java,RacerDecorator,class,1,2,1,1,2,1,1,0,1,0.5,0.0,0.0,2,0,2,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,1025,0
C:\AnimalRace-master\src\HumanSocietyCenter.java,HumanSocietyCenter,class,13,17,4,13,22,5,0,35,14,0.78333336,0.25,0.53571427,8,2,8,0,0,0,8,0,0,0,30,30,0,30,0,0,2,0,13,296,3,1,0,0,0,83,39,96,14,76,2,0,2,0,153,0,0
C:\AnimalRace-master\src\SongRacerDecorator.java,SongRacerDecorator,class,3,6,3,3,4,2,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,1,0,1,0,3,0,3,1,0,0,0,21,1,0
C:\AnimalRace-master\src\AbstractFactory.java,AbstractFactory,class,2,6,4,2,2,1,2,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1025,0
C:\AnimalRace-master\src\FactoryProducer.java,FactoryProducer,class,3,4,1,3,3,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,3,0,0,0,0,2,0,0,0,0,1,0,0,0,7,1,0
C:\AnimalRace-master\src\IAnimal.java,IAnimal,interface,0,3,3,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
C:\AnimalRace-master\src\Animal.java,Animal,class,1,5,4,1,25,4,0,3,44,0.77310926,0.32352942,1.0,17,0,17,0,0,0,17,0,0,0,7,1,0,7,0,0,1,0,0,75,16,0,7,0,0,5,1,14,1,8,2,0,0,0,41,1,0
C:\AnimalRace-master\src\RacerFactory.java,RacerFactory,class,7,9,2,7,10,2,0,1,10,0.8,0.0,0.0,5,1,4,1,0,0,4,0,0,1,1,1,0,1,0,0,0,0,0,32,7,0,2,0,0,3,0,1,0,1,1,0,0,0,21,1,0
C:\AnimalRace-master\src\Cat.java,Cat,class,2,4,2,2,9,2,0,6,4,0.5833333,0.25,0.53571427,8,0,8,0,0,0,8,0,0,0,3,1,0,3,0,0,0,0,1,43,4,0,0,1,0,1,0,10,0,8,1,0,0,0,29,1,0
C:\AnimalRace-master\src\MultiColorRacer.java,MultiColorRacer,class,4,8,4,4,22,1,0,40,48,0.8055556,0.035714287,0.035714287,12,1,8,4,0,0,8,0,0,0,9,0,0,0,0,9,0,0,4,153,2,3,2,4,0,20,30,50,2,43,3,1,0,0,82,1,0
C:\AnimalRace-master\src\IFarm.java,IFarm,interface,0,4,4,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
