file,class,method,variable,usage
C:\AnimalRace-master\src\Bird.java,Bird,setReadyForAdoption/1[java.lang.String],readyForAdoption,3
C:\AnimalRace-master\src\Bird.java,Bird,setBreed/1[java.lang.String],breed,3
C:\AnimalRace-master\src\Bird.java,Bird,setMedicalCondition/1[java.lang.String],medicalCondition,3
C:\AnimalRace-master\src\Bird.java,Bird,setNotes/1[java.lang.String],notes,3
C:\AnimalRace-master\src\Bird.java,Bird,setId/1[int],id,3
C:\AnimalRace-master\src\Bird.java,Bird,getBreed/0,breed,1
C:\AnimalRace-master\src\Bird.java,Bird,setAge/1[double],age,3
C:\AnimalRace-master\src\Bird.java,Bird,getId/0,id,1
C:\AnimalRace-master\src\Bird.java,Bird,getNotes/0,notes,1
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",notes,3
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",medicalCondition,3
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",name,3
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",id,3
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",readyForAdoption,3
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",type,3
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",age,3
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",breed,3
C:\AnimalRace-master\src\Bird.java,Bird,getReadyForAdoption/0,readyForAdoption,1
C:\AnimalRace-master\src\Bird.java,Bird,getName/0,name,1
C:\AnimalRace-master\src\Bird.java,Bird,setName/1[java.lang.String],name,3
C:\AnimalRace-master\src\Bird.java,Bird,getMedicalCondition/0,medicalCondition,1
C:\AnimalRace-master\src\Bird.java,Bird,setType/1[java.lang.String],type,3
C:\AnimalRace-master\src\Bird.java,Bird,toString/0,notes,1
C:\AnimalRace-master\src\Bird.java,Bird,toString/0,medicalCondition,1
C:\AnimalRace-master\src\Bird.java,Bird,toString/0,name,1
C:\AnimalRace-master\src\Bird.java,Bird,toString/0,readyForAdoption,1
C:\AnimalRace-master\src\Bird.java,Bird,toString/0,type,1
