file,class,method,variable,usage
C:\AnimalRace-master\src\StrategyPatternDemo.java,StrategyPatternDemo,main/1[java.lang.String[]],args,0
C:\AnimalRace-master\src\StrategyPatternDemo.java,StrategyPatternDemo,main/1[java.lang.String[]],context3,1
C:\AnimalRace-master\src\Racer.java,Racer$Anonymous1,actionPerformed/1[java.awt.event.ActionEvent],event,0
C:\AnimalRace-master\src\Bird.java,Bird,setReadyForAdoption/1[java.lang.String],readyForAdoption,2
C:\AnimalRace-master\src\Bird.java,Bird,setBreed/1[java.lang.String],breed,2
C:\AnimalRace-master\src\Bird.java,Bird,setMedicalCondition/1[java.lang.String],medicalCondition,2
C:\AnimalRace-master\src\Bird.java,Bird,setNotes/1[java.lang.String],notes,2
C:\AnimalRace-master\src\Bird.java,Bird,setId/1[int],id,2
C:\AnimalRace-master\src\Bird.java,Bird,setAge/1[double],age,2
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",notes,2
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",medicalCondition,2
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",name,2
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",id,2
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",readyForAdoption,2
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",type,2
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",age,2
C:\AnimalRace-master\src\Bird.java,Bird,"Bird/8[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",breed,2
C:\AnimalRace-master\src\Bird.java,Bird,setName/1[java.lang.String],name,2
C:\AnimalRace-master\src\Bird.java,Bird,setType/1[java.lang.String],type,2
C:\AnimalRace-master\src\Bird.java,Bird,"draw/2[java.awt.Graphics,javax.swing.JComponent]",comp,0
C:\AnimalRace-master\src\Bird.java,Bird,"draw/2[java.awt.Graphics,javax.swing.JComponent]",g,0
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,mouseEntered/1[java.awt.event.MouseEvent],arg0,0
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,mouseExited/1[java.awt.event.MouseEvent],arg0,0
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",animalList,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",image,2
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",foodFile,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",e,5
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",icon,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",label,4
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",foodImage,2
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",foodLabel,4
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",food,2
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",foodIcon,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",animalFile,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",entry,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",foodPanel,3
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,"initializeRaceTrack/1[java.util.HashMap<java.lang.String,Animal>]",animal,2
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,mousePressed/1[java.awt.event.MouseEvent],arg0,0
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,getImageIcon/1[java.lang.String],image,2
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,getImageIcon/1[java.lang.String],e,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,getImageIcon/1[java.lang.String],filePath,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,getImageIcon/1[java.lang.String],filePathx,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,getImageIcon/1[java.lang.String],myIcon,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,mouseReleased/1[java.awt.event.MouseEvent],arg0,0
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,startRacing/1[Animal],entry,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,startRacing/1[Animal],a,3
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,startRacing/1[Animal],size,2
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,startRacing/1[Animal],racingPanel,5
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,startRacing/1[Animal],insets,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,startRacing/1[Animal],animal,3
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,startRacing/1[Animal],label,3
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,startRacing/1[Animal],animalCheck,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,buildFoodList/0,apple,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,buildFoodList/0,grass,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,buildFoodList/0,grapes,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,buildFoodList/0,carrot,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,displayAllAnimals/0,tortoise,2
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,displayAllAnimals/0,eevee,2
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,displayAllAnimals/0,ponyta,2
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,displayAllAnimals/0,bunny,2
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,mouseClicked/1[java.awt.event.MouseEvent],clickedLabel,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,mouseClicked/1[java.awt.event.MouseEvent],arg0,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,mouseClicked/1[java.awt.event.MouseEvent],listener,1
C:\AnimalRace-master\src\ReverseRacerWithFood.java,ReverseRacerWithFood,mouseClicked/1[java.awt.event.MouseEvent],raceAnimal,0
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,addDog/1[Dog],dog,1
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,"Dalmatian/10[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int]",notes,1
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,"Dalmatian/10[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int]",medicalCondition,1
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,"Dalmatian/10[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int]",name,1
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,"Dalmatian/10[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int]",x,1
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,"Dalmatian/10[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int]",y,1
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,"Dalmatian/10[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int]",id,1
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,"Dalmatian/10[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int]",readyForAdoption,1
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,"Dalmatian/10[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int]",type,1
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,"Dalmatian/10[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int]",age,1
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,"Dalmatian/10[java.lang.String,int,double,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int,int]",breed,1
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,"draw/2[java.awt.Graphics,javax.swing.JComponent]",comp,1
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,"draw/2[java.awt.Graphics,javax.swing.JComponent]",image,2
C:\AnimalRace-master\src\Dalmatian.java,Dalmatian,"draw/2[java.awt.Graphics,javax.swing.JComponent]",file,1
