file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\patrones-master\01_Polimorfismo\src\test\java\com\sidlors\patterns\polimorfismo\test\PruebaFormasTest.java,com.sidlors.patterns.polimorfismo.test.PruebaFormasTest,class,4,4,0,4,2,1,0,2,0,0.0,1.0,1.0,2,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,10,0,0,0,0,2,0,0,1,0,1,0,0,0,0,10,1,0
C:\patrones-master\11_Comando\src\main\java\com\sidlors\patterns\comando\NoCommand.java,com.sidlors.patterns.comando.NoCommand,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
C:\patrones-master\01_Polimorfismo\src\main\java\com\sidlors\patterns\polimorfismo\Rectangulo.java,com.sidlors.patterns.polimorfismo.Rectangulo,class,1,5,4,1,3,2,0,3,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,2,0,0,0,0,0,0,0,11,1,0
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\PruebaCadena.java,com.sidlors.patterns.chain.PruebaCadena,class,3,3,0,3,3,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,1,2,0,0,7,3,6,0,5,2,0,0,0,35,1,0
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\observer\Correo.java,mx.com.sidlors.patrones.observer.Correo,class,1,2,1,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6,1,0
C:\patrones-master\12_Decorador\src\main\java\mx\com\sidlors\patrones\decorator\Tomate.java,mx.com.sidlors.patrones.decorator.Tomate,class,2,3,1,2,2,3,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,1,0,1,1,1,0,0,0,0,7,1,0
C:\patrones-master\07_Proxy\src\main\java\com\sidlors\patterns\proxy\PersonaProxy.java,com.sidlors.patterns.proxy.PersonaProxy,class,0,1,1,0,11,1,0,9,0,0.64,0.7,1.0,5,0,5,0,0,0,5,0,0,0,5,0,0,1,0,4,0,0,0,45,0,1,2,2,1,8,2,5,2,5,2,0,0,0,27,1,0
C:\patrones-master\11_Comando\src\main\java\com\sidlors\patterns\comando\App.java,com.sidlors.patterns.comando.App,class,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,1,0
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\observer\IObservador.java,mx.com.sidlors.patrones.observer.IObservador,interface,0,5,5,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\patrones-master\15_Estado\src\main\java\com\sidlors\patterns\state\PruebaEstado.java,com.sidlors.patterns.state.PruebaEstado,class,4,5,1,4,6,1,0,8,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,35,0,1,1,0,0,5,6,7,0,6,2,0,0,0,30,1,0
