file,class,method,variable,usage
C:\patrones-master\01_Polimorfismo\src\test\java\com\sidlors\patterns\polimorfismo\test\PruebaFormasTest.java,com.sidlors.patterns.polimorfismo.test.PruebaFormasTest,setUp/0,miForma,1
C:\patrones-master\01_Polimorfismo\src\test\java\com\sidlors\patterns\polimorfismo\test\PruebaFormasTest.java,com.sidlors.patterns.polimorfismo.test.PruebaFormasTest,testname/0,miForma,2
C:\patrones-master\12_Decorador\src\main\java\mx\com\sidlors\patrones\decorator\Tomate.java,mx.com.sidlors.patrones.decorator.Tomate,Tomate/1[mx.com.sidlors.patrones.decorator.Hamburguesa],hamburguesa,1
C:\patrones-master\12_Decorador\src\main\java\mx\com\sidlors\patrones\decorator\Tomate.java,mx.com.sidlors.patrones.decorator.Tomate,getDescripcion/0,hamburguesa,1
C:\patrones-master\07_Proxy\src\main\java\com\sidlors\patterns\proxy\PersonaProxy.java,com.sidlors.patterns.proxy.PersonaProxy,decirEstado/0,salida,1
C:\patrones-master\07_Proxy\src\main\java\com\sidlors\patterns\proxy\PersonaProxy.java,com.sidlors.patterns.proxy.PersonaProxy,PersonaProxy/0,in,1
C:\patrones-master\07_Proxy\src\main\java\com\sidlors\patterns\proxy\PersonaProxy.java,com.sidlors.patterns.proxy.PersonaProxy,PersonaProxy/0,socket,5
C:\patrones-master\07_Proxy\src\main\java\com\sidlors\patterns\proxy\PersonaProxy.java,com.sidlors.patterns.proxy.PersonaProxy,PersonaProxy/0,thread,2
C:\patrones-master\07_Proxy\src\main\java\com\sidlors\patterns\proxy\PersonaProxy.java,com.sidlors.patterns.proxy.PersonaProxy,PersonaProxy/0,salida,1
C:\patrones-master\07_Proxy\src\main\java\com\sidlors\patterns\proxy\PersonaProxy.java,com.sidlors.patterns.proxy.PersonaProxy,despedirse/0,salida,1
C:\patrones-master\07_Proxy\src\main\java\com\sidlors\patterns\proxy\PersonaProxy.java,com.sidlors.patterns.proxy.PersonaProxy,run/0,character,2
C:\patrones-master\07_Proxy\src\main\java\com\sidlors\patterns\proxy\PersonaProxy.java,com.sidlors.patterns.proxy.PersonaProxy,run/0,in,1
C:\patrones-master\07_Proxy\src\main\java\com\sidlors\patterns\proxy\PersonaProxy.java,com.sidlors.patterns.proxy.PersonaProxy,saludar/0,salida,1
C:\patrones-master\02_Singleton\src\com\sidlors\singleton\Computadora.java,com.sidlors.singleton.Computadora,creaMarciano/0,marcianos,1
C:\patrones-master\02_Singleton\src\com\sidlors\singleton\Computadora.java,com.sidlors.singleton.Computadora,Computadora/0,marcianos,1
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ListasBase.java,com.sidlors.patterns.bridge.ListasBase,removerItem/1[java.lang.String],implementacion,1
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ListasBase.java,com.sidlors.patterns.bridge.ListasBase,setImplementacion/1[com.sidlors.patterns.bridge.I_ImplLista],implementacion,1
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ListasBase.java,com.sidlors.patterns.bridge.ListasBase,agregarItem/1[java.lang.String],implementacion,1
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ListasBase.java,com.sidlors.patterns.bridge.ListasBase,cuentaItems/0,implementacion,1
C:\patrones-master\10_Puente\src\main\java\com\sidlors\patterns\bridge\ListasBase.java,com.sidlors.patterns.bridge.ListasBase,obtenerItem/1[int],implementacion,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts$Builder,"Builder/2[int,int]",servings,3
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts$Builder,"Builder/2[int,int]",servingSize,3
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts$Builder,calories/1[int],calories,2
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts$Builder,fat/1[int],fat,2
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts$Builder,sodium/1[int],sodium,2
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts$Builder,carbohydrate/1[int],carbohydrate,2
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaNumerosIterador.java,com.sidlors.patterns.iterator.ListaNumerosIterador,tieneSiguiente/0,posicion,2
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaNumerosIterador.java,com.sidlors.patterns.iterator.ListaNumerosIterador,tieneSiguiente/0,numeros,1
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaNumerosIterador.java,com.sidlors.patterns.iterator.ListaNumerosIterador,siguiente/0,posicion,1
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaNumerosIterador.java,com.sidlors.patterns.iterator.ListaNumerosIterador,siguiente/0,numeros,1
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaNumerosIterador.java,com.sidlors.patterns.iterator.ListaNumerosIterador,ListaNumerosIterador/1[int[]],posicion,1
C:\patrones-master\19_Iterador\src\main\java\com\sidlors\patterns\iterator\ListaNumerosIterador.java,com.sidlors.patterns.iterator.ListaNumerosIterador,ListaNumerosIterador/1[int[]],numeros,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,getServings/0,servings,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,getSodium/0,sodium,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,getCarbohydrate/0,carbohydrate,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,getFat/0,fat,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,getCalories/0,calories,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,getServingSize/0,servingSize,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,NutritionFacts/1[com.sidlors.builder.NutritionFacts.Builder],sodium,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,NutritionFacts/1[com.sidlors.builder.NutritionFacts.Builder],servings,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,NutritionFacts/1[com.sidlors.builder.NutritionFacts.Builder],fat,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,NutritionFacts/1[com.sidlors.builder.NutritionFacts.Builder],calories,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,NutritionFacts/1[com.sidlors.builder.NutritionFacts.Builder],servingSize,1
C:\patrones-master\04_Builder\src\main\java\com\sidlors\builder\NutritionFacts.java,com.sidlors.builder.NutritionFacts,NutritionFacts/1[com.sidlors.builder.NutritionFacts.Builder],carbohydrate,1
C:\patrones-master\05.1_FactoryMethod\src\main\java\mx\com\sidors\method\factory\modelo\TVBase.java,mx.com.sidors.method.factory.modelo.TVBase,setColor/1[java.lang.String],color,3
C:\patrones-master\05.1_FactoryMethod\src\main\java\mx\com\sidors\method\factory\modelo\TVBase.java,mx.com.sidors.method.factory.modelo.TVBase,verDescripcion/0,descripcion,1
C:\patrones-master\05.1_FactoryMethod\src\main\java\mx\com\sidors\method\factory\modelo\TVBase.java,mx.com.sidors.method.factory.modelo.TVBase,verDescripcion/0,tipoPantalla,1
C:\patrones-master\05.1_FactoryMethod\src\main\java\mx\com\sidors\method\factory\modelo\TVBase.java,mx.com.sidors.method.factory.modelo.TVBase,verDescripcion/0,color,1
