file,class,method,variable,usage
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\PruebaCadena.java,com.sidlors.patterns.chain.PruebaCadena,main/1[java.lang.String[]],args,0
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\PruebaCadena.java,com.sidlors.patterns.chain.PruebaCadena,main/1[java.lang.String[]],sc,1
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\PruebaCadena.java,com.sidlors.patterns.chain.PruebaCadena,main/1[java.lang.String[]],opcion,4
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\PruebaCadena.java,com.sidlors.patterns.chain.PruebaCadena,main/1[java.lang.String[]],intermediario,1
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\PruebaCadena.java,com.sidlors.patterns.chain.PruebaCadena,main/1[java.lang.String[]],presentacion,1
C:\patrones-master\14_Cadena\src\main\java\com\sidlors\patterns\chain\PruebaCadena.java,com.sidlors.patterns.chain.PruebaCadena,main/1[java.lang.String[]],aplicacion,1
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\observer\Correo.java,mx.com.sidlors.patrones.observer.Correo,"actualizar/2[java.lang.String,java.lang.String]",a,1
C:\patrones-master\13_Observador\src\main\java\mx\com\sidlors\patrones\observer\Correo.java,mx.com.sidlors.patrones.observer.Correo,"actualizar/2[java.lang.String,java.lang.String]",l,1
C:\patrones-master\12_Decorador\src\main\java\mx\com\sidlors\patrones\decorator\Tomate.java,mx.com.sidlors.patrones.decorator.Tomate,Tomate/1[mx.com.sidlors.patrones.decorator.Hamburguesa],h,1
C:\patrones-master\07_Proxy\src\main\java\com\sidlors\patterns\proxy\PersonaProxy.java,com.sidlors.patterns.proxy.PersonaProxy,PersonaProxy/0,e,1
C:\patrones-master\07_Proxy\src\main\java\com\sidlors\patterns\proxy\PersonaProxy.java,com.sidlors.patterns.proxy.PersonaProxy,PersonaProxy/0,ioe,1
C:\patrones-master\07_Proxy\src\main\java\com\sidlors\patterns\proxy\PersonaProxy.java,com.sidlors.patterns.proxy.PersonaProxy,run/0,ex,1
C:\patrones-master\11_Comando\src\main\java\com\sidlors\patterns\comando\App.java,com.sidlors.patterns.comando.App,main/1[java.lang.String[]],args,0
