file,class,method,variable,usage
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,loadItemsToRobot/0,robots,1
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,getCharger/0,centralCharger,1
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,addToPool/1[automail.MailItem],chargeThreshold,2
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,addToPool/1[automail.MailItem],pool,3
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,addToPool/1[automail.MailItem],centralCharger,1
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,loadItem/1[java.util.ListIterator<automail.Robot>],pool,3
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,registerWaiting/1[automail.Robot],robots,1
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,"MailPool/2[int,double]",chargeThreshold,4
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,"MailPool/2[int,double]",pool,1
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,"MailPool/2[int,double]",centralCharger,1
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,"MailPool/2[int,double]",robots,1
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,getTotServiceCost/0,totServiceCost,1
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,getTotFailureLookups/0,totFailureLookups,1
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,finalCharge/1[automail.MailItem],totBillableActivity,1
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,finalCharge/1[automail.MailItem],totServiceCost,1
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,finalCharge/1[automail.MailItem],numDeliveredItem,1
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,finalCharge/1[automail.MailItem],totActivityCost,1
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,finalCharge/1[automail.MailItem],ACTIVITY_UNIT_PRICE,1
