file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool$ItemComparatorPriority,"compare/2[automail.MailPool.Item,automail.MailPool.Item]",false,49,1,0,0,0,7,0,18,1,1,2,0,0,0,0,0,0,0,0,5,5,0,2,0,0,0,4,1,0,false
C:\automail-service-main\Automail\src\exceptions\ItemTooHeavyException.java,exceptions.ItemTooHeavyException,ItemTooHeavyException/0,true,7,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,false
C:\automail-service-main\Automail\src\simulation\IMailDelivery.java,simulation.IMailDelivery,deliver/1[automail.MailItem],false,10,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,true
C:\automail-service-main\Automail\src\automail\ModemAdapter.java,automail.ModemAdapter,getServiceFee/1[int],false,24,1,2,1,1,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
C:\automail-service-main\Automail\src\automail\ModemAdapter.java,automail.ModemAdapter,ModemAdapter/0,true,17,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool$ItemComparator,"compare/2[automail.MailPool.Item,automail.MailPool.Item]",false,35,1,0,0,0,3,0,10,1,1,2,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,4,1,0,false
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,loadItemsToRobot/0,false,122,2,2,1,1,2,3,4,0,1,0,3,1,1,1,0,0,0,0,0,1,0,1,0,0,0,14,1,0,true
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,getCharger/0,false,161,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,addToPool/1[automail.MailItem],false,95,5,6,2,4,3,3,14,0,2,1,3,0,0,0,0,0,0,0,1,3,0,1,0,0,0,20,1,0,true
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,loadItem/1[java.util.ListIterator<automail.Robot>],false,129,2,5,1,4,4,10,20,0,2,1,10,0,0,0,0,1,1,0,2,2,0,3,0,0,0,11,2,0,false
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,registerWaiting/1[automail.Robot],false,153,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,true
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,"MailPool/2[int,double]",true,80,3,2,1,1,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,27,1,0,true
