file,class,method,variable,usage
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool$ItemComparatorPriority,"compare/2[automail.MailPool.Item,automail.MailPool.Item]",i1,4
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool$ItemComparatorPriority,"compare/2[automail.MailPool.Item,automail.MailPool.Item]",i2,4
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool$ItemComparatorPriority,"compare/2[automail.MailPool.Item,automail.MailPool.Item]",order,5
C:\automail-service-main\Automail\src\simulation\IMailDelivery.java,simulation.IMailDelivery,deliver/1[automail.MailItem],mailItem,0
C:\automail-service-main\Automail\src\automail\ModemAdapter.java,automail.ModemAdapter,getServiceFee/1[int],floor,1
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool$ItemComparator,"compare/2[automail.MailPool.Item,automail.MailPool.Item]",i1,2
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool$ItemComparator,"compare/2[automail.MailPool.Item,automail.MailPool.Item]",i2,2
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool$ItemComparator,"compare/2[automail.MailPool.Item,automail.MailPool.Item]",order,3
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,loadItemsToRobot/0,i,2
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,addToPool/1[automail.MailItem],item,2
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,addToPool/1[automail.MailItem],mailItem,2
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,addToPool/1[automail.MailItem],estimateCharge,1
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,loadItem/1[java.util.ListIterator<automail.Robot>],robot,4
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,loadItem/1[java.util.ListIterator<automail.Robot>],e,1
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,loadItem/1[java.util.ListIterator<automail.Robot>],i,2
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,loadItem/1[java.util.ListIterator<automail.Robot>],j,4
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,registerWaiting/1[automail.Robot],robot,1
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,"MailPool/2[int,double]",chargeThreshold,2
C:\automail-service-main\Automail\src\automail\MailPool.java,automail.MailPool,"MailPool/2[int,double]",nrobots,0
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,finalCharge/1[automail.MailItem],serviceFee,3
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,finalCharge/1[automail.MailItem],activityCost,2
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,finalCharge/1[automail.MailItem],cost,2
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,finalCharge/1[automail.MailItem],charge,1
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,finalCharge/1[automail.MailItem],mailItem,5
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,finalCharge/1[automail.MailItem],activity,2
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,initialCharge/1[automail.MailItem],serviceFee,2
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,initialCharge/1[automail.MailItem],activityCost,1
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,initialCharge/1[automail.MailItem],cost,2
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,initialCharge/1[automail.MailItem],charge,2
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,initialCharge/1[automail.MailItem],mailItem,3
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,initialCharge/1[automail.MailItem],activity,2
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,lookupServiceFee/1[int],serviceFee,5
C:\automail-service-main\Automail\src\automail\Charger.java,automail.Charger,lookupServiceFee/1[int],floor,4
C:\automail-service-main\Automail\src\automail\MailItem.java,automail.MailItem,"MailItem/3[int,int,int]",arrival_time,2
C:\automail-service-main\Automail\src\automail\MailItem.java,automail.MailItem,"MailItem/3[int,int,int]",dest_floor,1
C:\automail-service-main\Automail\src\automail\MailItem.java,automail.MailItem,"MailItem/3[int,int,int]",weight,2
C:\automail-service-main\Automail\src\automail\MailItem.java,automail.MailItem,computeDelay/1[int],currentTime,1
C:\automail-service-main\Automail\src\automail\MailItem.java,automail.MailItem,computeDelay/1[int],delay,1
C:\automail-service-main\Automail\src\automail\MailItem.java,automail.MailItem,hashCode/0,hash0,2
C:\automail-service-main\Automail\src\automail\MailItem.java,automail.MailItem,hashCode/0,hash,4
C:\automail-service-main\Automail\src\automail\MailItem.java,automail.MailItem,setDelay/1[int],delay,2
C:\automail-service-main\Automail\src\automail\MailItem.java,automail.MailItem,setCharge/1[automail.Charge],charge,2
C:\automail-service-main\Automail\src\automail\Charge.java,automail.Charge,setServiceFee/1[double],serviceFee,2
C:\automail-service-main\Automail\src\automail\Charge.java,automail.Charge,setCost/1[double],cost,2
C:\automail-service-main\Automail\src\automail\Charge.java,automail.Charge,"Charge/4[double,double,double,double]",serviceFee,2
C:\automail-service-main\Automail\src\automail\Charge.java,automail.Charge,"Charge/4[double,double,double,double]",cost,2
C:\automail-service-main\Automail\src\automail\Charge.java,automail.Charge,"Charge/4[double,double,double,double]",charge,2
C:\automail-service-main\Automail\src\automail\Charge.java,automail.Charge,"Charge/4[double,double,double,double]",activity,2
C:\automail-service-main\Automail\src\automail\Charge.java,automail.Charge,setCharge/1[double],charge,2
C:\automail-service-main\Automail\src\automail\Charge.java,automail.Charge,setActivity/1[double],activity,2
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,generateAllMail/0,newMailList,2
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,generateAllMail/0,timeToDeliver,3
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,generateAllMail/0,newMail,3
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,addToMailPool/0,mailItem,2
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,generateWeight/0,mean,1
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,generateWeight/0,weight,2
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,generateWeight/0,stddev,1
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,generateWeight/0,base,4
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,generateMail/0,arrivalTime,1
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,generateMail/0,weight,1
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,generateMail/0,destinationFloor,1
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,generateMail/0,newMailItem,2
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,"MailGenerator/4[int,int,automail.MailPool,java.util.HashMap<java.lang.Boolean,java.lang.Integer>]",mailPool,2
C:\automail-service-main\Automail\src\simulation\MailGenerator.java,simulation.MailGenerator,"MailGenerator/4[int,int,automail.MailPool,java.util.HashMap<java.lang.Boolean,java.lang.Integer>]",mailToCreate,2
