file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\CommandExecutor.java,name.paulevans.distcmdfrmwk.CommandExecutor,class,2,5,3,2,3,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,1,1,0,0,0,0,0,2,0,0,0,37,1,0
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\ClientCommandStub.java,name.paulevans.distcmdfrmwk.client.ClientCommandStub,class,2,4,2,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\CommandProcessingExceptionTest.java,name.paulevans.distcmdfrmwk.CommandProcessingExceptionTest,class,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,1,0,2,0,2,0,0,0,0,14,1,0
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,-1,0
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate,class,5,6,1,5,4,1,0,2,1,0.5,0.33333334,0.33333334,3,0,3,0,0,0,3,0,2,0,2,0,0,2,0,0,0,0,0,23,1,0,0,1,0,0,0,2,0,2,1,1,0,0,74,1,0
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,class,10,10,0,10,8,1,0,16,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,4,0,1,0,0,1,0,0,0,0,0,51,0,0,0,3,0,5,0,5,1,5,1,0,0,0,85,1,0
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpointTest.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpointTest,class,5,5,0,5,4,1,0,10,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,31,0,0,0,1,0,0,0,5,0,5,1,0,0,0,57,1,0
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\CommandExecutorTest.java,name.paulevans.distcmdfrmwk.CommandExecutorTest,class,5,5,0,5,6,1,0,9,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,36,0,0,0,2,0,2,0,5,0,5,1,0,0,0,52,1,0
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\ClientCommandDelegateException.java,name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegateException,class,0,2,2,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,1,0
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegateTest,class,5,5,0,5,4,1,0,4,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,22,0,0,0,1,0,1,0,2,0,2,1,0,0,0,49,1,0
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\ClientCommandDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegate,interface,1,5,4,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,1,0
