file,class,method,variable,usage
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate,execute/1[name.paulevans.distcmdfrmwk.client.ClientCommand],wsOperations,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate,setWebServiceOperations/1[name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.WebServiceOperations],wsOperations,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate,setSoapAction/1[java.lang.String],soapAction,1
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testSetSoapAction/0,wsDelegate,2
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,setUp/0,wsDelegate,1
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testExecute/0,wsDelegate,3
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testExecute_soapClientFault/0,wsDelegate,3
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testSetWebServiceOperations/0,wsDelegate,2
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpointTest.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpointTest,testSetCommandExecutor/0,endpoint,2
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpointTest.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpointTest,testInvokeInternal/0,endpoint,3
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpointTest.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpointTest,setUp/0,endpoint,1
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\CommandExecutorTest.java,name.paulevans.distcmdfrmwk.CommandExecutorTest,testException/0,commandExecutor,1
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\CommandExecutorTest.java,name.paulevans.distcmdfrmwk.CommandExecutorTest,testExecuteCommand/0,commandExecutor,1
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\CommandExecutorTest.java,name.paulevans.distcmdfrmwk.CommandExecutorTest,testCmdProccessingException/0,commandExecutor,1
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\CommandExecutorTest.java,name.paulevans.distcmdfrmwk.CommandExecutorTest,setUp/0,commandExecutor,1
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegateTest,setUp/0,localDelegate,1
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegateTest,testProperMapping/0,localDelegate,3
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegateTest,testAbsentMapping/0,localDelegate,2
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpoint.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpoint,setCommandExecutor/1[name.paulevans.distcmdfrmwk.CommandExecutor],commandExecutor,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpoint.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpoint,invokeInternal/1[java.lang.Object],commandExecutor,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegate,getServerCommand/1[name.paulevans.distcmdfrmwk.client.ClientCommand],clientServerCommandMap,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\local\LocalDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.local.LocalDelegate,"addMapping/2[java.lang.Class<? extends name.paulevans.distcmdfrmwk.client.ClientCommand>,java.lang.Class<? extends name.paulevans.distcmdfrmwk.Command>]",clientServerCommandMap,1
