file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\CommandExecutor.java,name.paulevans.distcmdfrmwk.CommandExecutor,executeCommand/1[name.paulevans.distcmdfrmwk.Command],false,24,2,7,5,2,3,1,13,1,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,16,1,0,true
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\ClientCommandStub.java,name.paulevans.distcmdfrmwk.client.ClientCommandStub,execute/0,false,15,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\ClientCommandStub.java,name.paulevans.distcmdfrmwk.client.ClientCommandStub,setClientCommandDelegate/1[name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegate],false,21,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\CommandProcessingExceptionTest.java,name.paulevans.distcmdfrmwk.CommandProcessingExceptionTest,testCommandProcessingException/0,false,16,2,1,0,1,2,3,8,0,2,0,3,0,0,0,1,0,0,1,0,2,0,0,0,0,0,7,17,0,false
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate$Anonymous1,doWithMessage/1[name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.WebServiceMessage],false,49,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,false
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate,execute/1[name.paulevans.distcmdfrmwk.client.ClientCommand],false,41,3,3,2,1,2,2,13,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,17,1,0,false
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate,setWebServiceOperations/1[name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.WebServiceOperations],false,68,1,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,17,0,true
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate,setSoapAction/1[java.lang.String],false,75,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,17,0,true
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testSetSoapAction/0,false,187,2,1,0,1,2,3,9,0,0,0,3,0,0,0,0,1,0,2,0,0,0,1,0,0,0,12,17,0,true
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,setUp/0,false,38,2,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testExecute/0,false,114,6,3,0,3,1,11,12,0,3,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,51,17,0,true
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testExecute_soapClientFault/0,false,58,8,3,0,3,2,13,15,0,1,0,13,0,0,0,0,1,0,2,0,1,1,1,0,0,0,62,17,0,true
