file,class,method,variable,usage
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\CommandExecutor.java,name.paulevans.distcmdfrmwk.CommandExecutor,executeCommand/1[name.paulevans.distcmdfrmwk.Command],pCommand,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\CommandExecutor.java,name.paulevans.distcmdfrmwk.CommandExecutor,executeCommand/1[name.paulevans.distcmdfrmwk.Command],pAny,3
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\ClientCommandStub.java,name.paulevans.distcmdfrmwk.client.ClientCommandStub,setClientCommandDelegate/1[name.paulevans.distcmdfrmwk.client.cmddelgt.ClientCommandDelegate],pClientCommandDelegate,0
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\CommandProcessingExceptionTest.java,name.paulevans.distcmdfrmwk.CommandProcessingExceptionTest,testCommandProcessingException/0,cmdProcessingException,4
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\CommandProcessingExceptionTest.java,name.paulevans.distcmdfrmwk.CommandProcessingExceptionTest,testCommandProcessingException/0,cause,2
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate$Anonymous1,doWithMessage/1[name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.WebServiceMessage],pMessage,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate,execute/1[name.paulevans.distcmdfrmwk.client.ClientCommand],pSoapFaultClientException,2
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate,execute/1[name.paulevans.distcmdfrmwk.client.ClientCommand],pCommand,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate,setWebServiceOperations/1[name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.WebServiceOperations],pWsOperations,1
C:\JClientServerCommand-master\src\main\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegate.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegate,setSoapAction/1[java.lang.String],pSoapAction,1
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testSetSoapAction/0,any,0
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testExecute/0,result,1
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testExecute/0,wsOpsMock,5
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testExecute/0,configuredResult,2
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testExecute_soapClientFault/0,wsOpsMock,5
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testExecute_soapClientFault/0,pClientCmdDelegateException,0
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\client\cmddelgt\soapws\spring\MarshallingSoapWsDelegateTest.java,name.paulevans.distcmdfrmwk.client.cmddelgt.soapws.spring.MarshallingSoapWsDelegateTest,testSetWebServiceOperations/0,any,0
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpointTest.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpointTest,testInvokeInternal/0,mockCmd,3
C:\JClientServerCommand-master\src\test\unittest\java\name\paulevans\distcmdfrmwk\server\cmdendpoint\ws\SpringMarshallingPayloadEndpointTest.java,name.paulevans.distcmdfrmwk.server.cmdendpoint.ws.SpringMarshallingPayloadEndpointTest,testInvokeInternal/0,configuredExpectedResults,3
