file,class,method,variable,usage
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous9,getColumnClass/1[int],types,1
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\PartTimeEmployee.java,StaffManagement.DomainData.PartTimeEmployee,getHours/0,hours,1
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\PartTimeEmployee.java,StaffManagement.DomainData.PartTimeEmployee,setRate/1[double],rate,3
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\PartTimeEmployee.java,StaffManagement.DomainData.PartTimeEmployee,setHours/1[double],hours,3
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\PartTimeEmployee.java,StaffManagement.DomainData.PartTimeEmployee,getRate/0,rate,1
C:\StaffManagementSystem-master\src\StaffManagement\BusinessLogic\ListEmployeesController.java,StaffManagement.BusinessLogic.ListEmployeesController,listEmployees/1[javax.swing.table.DefaultTableModel],list,1
C:\StaffManagementSystem-master\src\StaffManagement\BusinessLogic\ListEmployeesController.java,StaffManagement.BusinessLogic.ListEmployeesController,setEmpList/1[java.util.ArrayList],list,1
C:\StaffManagementSystem-master\src\StaffManagement\BusinessLogic\ListEmployeesController.java,StaffManagement.BusinessLogic.ListEmployeesController,getEmployees/0,list,1
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\Employee.java,StaffManagement.DomainData.Employee,setType/1[java.lang.String],type,3
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\Employee.java,StaffManagement.DomainData.Employee,setDoj/1[java.util.Date],doj,3
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\Employee.java,StaffManagement.DomainData.Employee,getEmail/0,email,1
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\Employee.java,StaffManagement.DomainData.Employee,setName/1[java.lang.String],name,3
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\Employee.java,StaffManagement.DomainData.Employee,setEmail/1[java.lang.String],email,3
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\Employee.java,StaffManagement.DomainData.Employee,setAddress/1[java.lang.String],address,3
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\Employee.java,StaffManagement.DomainData.Employee,getAddress/0,address,1
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\Employee.java,StaffManagement.DomainData.Employee,setId/1[int],id,3
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\Employee.java,StaffManagement.DomainData.Employee,getId/0,id,1
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\Employee.java,StaffManagement.DomainData.Employee,getDoj/0,doj,1
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\Employee.java,StaffManagement.DomainData.Employee,getName/0,name,1
C:\StaffManagementSystem-master\src\StaffManagement\DomainData\Employee.java,StaffManagement.DomainData.Employee,getType/0,type,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,delete_employee_btn_lblMouseClicked/1[java.awt.event.MouseEvent],delete_employee_id_input,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_doj_date_input,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_id_input,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_id_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],sidebar_add_emp_btn_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],save_employee_btn_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],sidebar_emp_list_btn_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],delete_employee_pnl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_form_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],update_employee_btn_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],employee_form_pnl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],employee_list_scrl_pane,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],sidebar_delete_emp_btn_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_add_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],sidebar_update_emp_btn_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,"ManagerUI/3[StaffManagement.BusinessLogic.AddEmployeeController,StaffManagement.BusinessLogic.ListEmployeesController,java.sql.Connection]",output,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,"ManagerUI/3[StaffManagement.BusinessLogic.AddEmployeeController,StaffManagement.BusinessLogic.ListEmployeesController,java.sql.Connection]",conn,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,"ManagerUI/3[StaffManagement.BusinessLogic.AddEmployeeController,StaffManagement.BusinessLogic.ListEmployeesController,java.sql.Connection]",con,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,"ManagerUI/3[StaffManagement.BusinessLogic.AddEmployeeController,StaffManagement.BusinessLogic.ListEmployeesController,java.sql.Connection]",list,2
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,headerMousePressed/1[java.awt.event.MouseEvent],xx,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,headerMousePressed/1[java.awt.event.MouseEvent],xy,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_emp_list_btn_lblMouseClicked/1[java.awt.event.MouseEvent],employee_form_pnl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_emp_list_btn_lblMouseClicked/1[java.awt.event.MouseEvent],employee_list_tbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_emp_list_btn_lblMouseClicked/1[java.awt.event.MouseEvent],sidebar_add_emp_btn_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_emp_list_btn_lblMouseClicked/1[java.awt.event.MouseEvent],employee_list_scrl_pane,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_emp_list_btn_lblMouseClicked/1[java.awt.event.MouseEvent],sidebar_delete_emp_btn_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_emp_list_btn_lblMouseClicked/1[java.awt.event.MouseEvent],sidebar_emp_list_btn_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_emp_list_btn_lblMouseClicked/1[java.awt.event.MouseEvent],sidebar_update_emp_btn_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_emp_list_btn_lblMouseClicked/1[java.awt.event.MouseEvent],delete_employee_pnl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,save_employee_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_email_input,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,save_employee_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_salary_input,3
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,save_employee_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_doj_date_input,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,save_employee_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_address_input,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,save_employee_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_hours_input,3
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,save_employee_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_name_input,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,save_employee_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_rate_input,3
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,save_employee_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_type_full_rdo_btn,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_update_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_doj_date_input,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_update_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_id_input,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_update_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_id_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_update_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],sidebar_add_emp_btn_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_update_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],save_employee_btn_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_update_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],sidebar_emp_list_btn_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_update_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],delete_employee_pnl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_update_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],emp_form_lbl,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI,sidebar_update_emp_btn_lblMouseClicked/1[java.awt.event.MouseEvent],update_employee_btn_lbl,1
