file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetType/0,false,79,3,2,0,2,1,2,6,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,1,0,true
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,tearDownClass/0,false,30,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,setUp/0,false,34,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetAddress/0,false,102,3,2,0,2,1,2,6,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,1,0,true
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetName/0,false,68,3,2,0,2,1,2,6,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,1,0,true
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testGetId/0,false,45,3,2,0,2,1,3,7,0,3,0,3,0,0,0,0,0,0,1,1,3,0,0,0,0,0,14,1,0,true
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,EmployeeTest/0,true,22,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,setUpClass/0,false,26,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetDoj/0,false,113,3,2,0,2,1,2,6,0,2,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,12,1,0,true
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetId/0,false,57,3,2,0,2,1,2,6,0,2,0,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,10,1,0,true
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,tearDown/0,false,38,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetEmail/0,false,91,3,2,0,2,1,2,6,0,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,10,1,0,true
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous9,getColumnClass/1[int],false,383,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous7,mouseClicked/1[java.awt.event.MouseEvent],false,298,1,16,0,16,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous8,mouseClicked/1[java.awt.event.MouseEvent],false,312,1,16,0,16,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous5,mouseClicked/1[java.awt.event.MouseEvent],false,270,1,16,0,16,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous6,mouseClicked/1[java.awt.event.MouseEvent],false,284,1,16,0,16,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous3,mouseClicked/1[java.awt.event.MouseEvent],false,178,1,16,0,16,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous4,mouseClicked/1[java.awt.event.MouseEvent],false,204,1,16,0,16,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous1,mouseDragged/1[java.awt.event.MouseEvent],false,158,1,2,0,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous2,mousePressed/1[java.awt.event.MouseEvent],false,163,1,2,0,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous2,mouseReleased/1[java.awt.event.MouseEvent],false,166,1,2,0,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\BusinessLogic\LoginController.java,StaffManagement.BusinessLogic.LoginController,"attempt_login/2[java.lang.String,java.lang.String]",false,22,2,2,1,1,2,8,16,2,3,2,8,0,0,0,0,1,0,1,2,3,0,1,0,0,0,27,9,0,false
C:\StaffManagementSystem-master\src\StaffManagement\DataPersistence\EmployeeRepo.java,StaffManagement.DataPersistence.EmployeeRepo,read/1[int],false,18,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\DataPersistence\EmployeeRepo.java,StaffManagement.DataPersistence.EmployeeRepo,list/0,false,16,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\DataPersistence\EmployeeRepo.java,StaffManagement.DataPersistence.EmployeeRepo,update/1[StaffManagement.DomainData.Employee],false,19,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\DataPersistence\EmployeeRepo.java,StaffManagement.DataPersistence.EmployeeRepo,create/1[StaffManagement.DomainData.Employee],false,17,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\DataPersistence\EmployeeRepo.java,StaffManagement.DataPersistence.EmployeeRepo,delete/1[int],false,20,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous11,actionPerformed/1[java.awt.event.ActionEvent],false,413,1,9,0,9,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous10,keyReleased/1[java.awt.event.KeyEvent],false,398,1,2,0,2,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
