file,class,method,variable,usage
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetType/0,instance,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetType/0,type,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetAddress/0,address,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetAddress/0,instance,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetName/0,instance,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetName/0,name,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testGetId/0,result,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testGetId/0,instance,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testGetId/0,expResult,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetDoj/0,instance,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetDoj/0,doj,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetId/0,instance,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetId/0,id,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetEmail/0,instance,1
C:\StaffManagementSystem-master\test\StaffManagement\DomainData\EmployeeTest.java,StaffManagement.DomainData.EmployeeTest,testSetEmail/0,email,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous9,getColumnClass/1[int],columnIndex,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous7,mouseClicked/1[java.awt.event.MouseEvent],evt,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous8,mouseClicked/1[java.awt.event.MouseEvent],evt,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous5,mouseClicked/1[java.awt.event.MouseEvent],evt,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous6,mouseClicked/1[java.awt.event.MouseEvent],evt,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous3,mouseClicked/1[java.awt.event.MouseEvent],evt,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous4,mouseClicked/1[java.awt.event.MouseEvent],evt,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous1,mouseDragged/1[java.awt.event.MouseEvent],evt,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous2,mousePressed/1[java.awt.event.MouseEvent],evt,1
C:\StaffManagementSystem-master\src\StaffManagement\UserInterface\ManagerUI.java,StaffManagement.UserInterface.ManagerUI$Anonymous2,mouseReleased/1[java.awt.event.MouseEvent],evt,1
C:\StaffManagementSystem-master\src\StaffManagement\BusinessLogic\LoginController.java,StaffManagement.BusinessLogic.LoginController,"attempt_login/2[java.lang.String,java.lang.String]",rs,2
C:\StaffManagementSystem-master\src\StaffManagement\BusinessLogic\LoginController.java,StaffManagement.BusinessLogic.LoginController,"attempt_login/2[java.lang.String,java.lang.String]",password,1
C:\StaffManagementSystem-master\src\StaffManagement\BusinessLogic\LoginController.java,StaffManagement.BusinessLogic.LoginController,"attempt_login/2[java.lang.String,java.lang.String]",ps,4
C:\StaffManagementSystem-master\src\StaffManagement\BusinessLogic\LoginController.java,StaffManagement.BusinessLogic.LoginController,"attempt_login/2[java.lang.String,java.lang.String]",ex,1
C:\StaffManagementSystem-master\src\StaffManagement\BusinessLogic\LoginController.java,StaffManagement.BusinessLogic.LoginController,"attempt_login/2[java.lang.String,java.lang.String]",query,1
C:\StaffManagementSystem-master\src\StaffManagement\BusinessLogic\LoginController.java,StaffManagement.BusinessLogic.LoginController,"attempt_login/2[java.lang.String,java.lang.String]",username,1
C:\StaffManagementSystem-master\src\StaffManagement\DataPersistence\EmployeeRepo.java,StaffManagement.DataPersistence.EmployeeRepo,read/1[int],id,0
C:\StaffManagementSystem-master\src\StaffManagement\DataPersistence\EmployeeRepo.java,StaffManagement.DataPersistence.EmployeeRepo,update/1[StaffManagement.DomainData.Employee],emp,0
