file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\bundle\Bundle.java,onlyTests.DB.bundle.Bundle,class,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,2,0,2,0,2,0,0,0,0,6,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_13\task_A_11\Server.java,chapter_13.task_A_11.Server,class,2,4,2,2,6,1,0,8,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,28,2,2,0,1,2,2,6,6,5,5,2,0,0,0,19,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_1\Task_16.java,chapter_1.Task_16,class,1,2,1,1,5,1,0,5,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,22,1,3,0,0,2,2,4,8,4,7,2,0,0,0,14,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\readPage\ReadDocument.java,onlyTests.networkProgramms.readPage.ReadDocument,class,0,0,0,0,5,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,2,2,1,2,0,6,0,4,2,0,0,0,23,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\Resource.java,onlyTests.threads.synchron.Resource,class,0,2,2,0,6,1,0,5,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,1,1,0,0,1,0,0,0,0,2,28,0,0,0,2,1,5,1,1,7,1,1,0,0,0,13,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\wait_notify\Payment.java,onlyTests.threads.wait_notify.Payment,class,0,2,2,0,6,1,0,4,0,0.375,0.6666667,1.0,4,0,4,0,0,0,4,0,0,1,2,0,0,2,0,0,0,0,0,27,2,1,0,1,0,2,1,3,1,3,2,0,0,0,16,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_13\task_A_11\ClientPlayer.java,chapter_13.task_A_11.ClientPlayer,class,0,0,0,0,9,1,0,12,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,46,0,1,2,3,0,6,1,10,1,6,3,0,0,0,24,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_8\task_B_4\Entity\Potato.java,chapter_8.task_B_4.Entity.Potato,class,1,2,1,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,6,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\ExeptThread\ExceptionThreadDemo.java,onlyTests.threads.ExeptThread.ExceptionThreadDemo,class,1,1,0,1,2,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,1,1,0,1,1,0,0,0,11,1,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_10\task_B_13\Runner.java,chapter_10.task_B_13.Runner,class,2,2,0,2,4,1,0,8,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,16,0,1,0,0,2,2,6,6,8,6,1,0,0,0,14,1,0
