file,class,method,variable,usage
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\Resource.java,onlyTests.threads.synchron.Resource,close/0,fileWriter,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\Resource.java,onlyTests.threads.synchron.Resource,"writing/2[java.lang.String,int]",fileWriter,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\Resource.java,onlyTests.threads.synchron.Resource,Resource/1[java.lang.String],fileWriter,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\wait_notify\Payment.java,onlyTests.threads.wait_notify.Payment,getAmount/0,amount,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\wait_notify\Payment.java,onlyTests.threads.wait_notify.Payment,doPayment/0,amount,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\wait_notify\Payment.java,onlyTests.threads.wait_notify.Payment,doPayment/0,close,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\wait_notify\Payment.java,onlyTests.threads.wait_notify.Payment,isClose/0,close,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\wait_notify\Payment.java,onlyTests.threads.wait_notify.Payment,initAmount/0,amount,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_8\task_B_4\Entity\Potato.java,chapter_8.task_B_4.Entity.Potato,"Potato/2[int,boolean]",koof,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_9\task_C_4\ReaderFromFileCode.java,chapter_9.task_C_4.ReaderFromFileCode,replaceUpper/0,codeText,4
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_9\task_C_4\ReaderFromFileCode.java,chapter_9.task_C_4.ReaderFromFileCode,getCodeText/0,codeText,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_9\task_C_4\ReaderFromFileCode.java,chapter_9.task_C_4.ReaderFromFileCode,readCode/1[java.lang.String],codeText,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\semafors\Client.java,onlyTests.threads.semafors.Client,isReading/0,reading,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\semafors\Client.java,onlyTests.threads.semafors.Client,Client/1[onlyTests.threads.semafors.ChannelPool<onlyTests.threads.semafors.AudioChannel>],pool,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\dbHelper\Abonent.java,onlyTests.DB.dbHelper.Abonent,getLastname/0,lastname,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\dbHelper\Abonent.java,onlyTests.DB.dbHelper.Abonent,setLastname/1[java.lang.String],lastname,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\dbHelper\Abonent.java,onlyTests.DB.dbHelper.Abonent,getPhone/0,phone,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\dbHelper\Abonent.java,onlyTests.DB.dbHelper.Abonent,toString/0,phone,1
