file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\bundle\Bundle.java,onlyTests.DB.bundle.Bundle,main/1[java.lang.String[]],false,9,0,0,0,0,1,3,5,0,2,1,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,6,9,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_13\task_A_11\Server.java,chapter_13.task_A_11.Server,main/1[java.lang.String[]],false,13,1,1,0,1,3,6,15,0,3,1,6,0,0,1,0,1,0,2,1,3,1,2,0,0,0,13,9,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_13\task_A_11\Server.java,chapter_13.task_A_11.Server,oneGameServer/0,false,36,1,2,1,1,2,2,8,1,2,0,2,1,1,1,0,0,1,0,3,3,2,1,0,0,0,7,9,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_13\task_A_11\Server.java,chapter_13.task_A_11.Server,randCard/0,false,32,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,2,9,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_1\Task_16.java,chapter_1.Task_16,main/1[java.lang.String[]],false,19,1,1,0,1,3,5,13,0,5,1,5,1,1,2,0,0,2,2,2,5,4,2,0,0,0,9,9,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_1\Task_16.java,chapter_1.Task_16,fact/1[int],false,9,0,1,1,0,2,0,7,1,2,1,0,0,0,1,0,0,0,0,2,3,0,1,0,0,0,4,9,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\readPage\ReadDocument.java,onlyTests.networkProgramms.readPage.ReadDocument,main/1[java.lang.String[]],false,10,0,0,0,0,5,4,22,0,4,1,4,0,0,1,2,2,1,2,0,6,0,2,0,0,0,21,9,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\Resource.java,onlyTests.threads.synchron.Resource,close/0,false,22,0,1,1,0,2,2,8,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,5,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\Resource.java,onlyTests.threads.synchron.Resource,"writing/2[java.lang.String,int]",false,10,0,1,1,0,3,4,14,0,0,2,4,0,0,0,0,1,1,4,1,0,6,1,0,0,0,8,33,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\Resource.java,onlyTests.threads.synchron.Resource,Resource/1[java.lang.String],true,6,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\wait_notify\Payment.java,onlyTests.threads.wait_notify.Payment,getAmount/0,false,7,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\wait_notify\Payment.java,onlyTests.threads.wait_notify.Payment,doPayment/0,false,13,0,1,1,0,3,3,13,0,0,0,3,0,0,1,0,1,0,2,1,1,1,2,0,0,0,10,33,0,false
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\wait_notify\Payment.java,onlyTests.threads.wait_notify.Payment,isClose/0,false,10,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
