file,class,method,variable,usage
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\bundle\Bundle.java,onlyTests.DB.bundle.Bundle,main/1[java.lang.String[]],args,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\bundle\Bundle.java,onlyTests.DB.bundle.Bundle,main/1[java.lang.String[]],resourceBundle,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\DB\bundle\Bundle.java,onlyTests.DB.bundle.Bundle,main/1[java.lang.String[]],test,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_13\task_A_11\Server.java,chapter_13.task_A_11.Server,main/1[java.lang.String[]],args,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_13\task_A_11\Server.java,chapter_13.task_A_11.Server,main/1[java.lang.String[]],server,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_13\task_A_11\Server.java,chapter_13.task_A_11.Server,main/1[java.lang.String[]],e,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_13\task_A_11\Server.java,chapter_13.task_A_11.Server,main/1[java.lang.String[]],socket,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_13\task_A_11\Server.java,chapter_13.task_A_11.Server,main/1[java.lang.String[]],thread,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_13\task_A_11\Server.java,chapter_13.task_A_11.Server,oneGameServer/0,res,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_13\task_A_11\Server.java,chapter_13.task_A_11.Server,oneGameServer/0,diapason,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_1\Task_16.java,chapter_1.Task_16,main/1[java.lang.String[]],args,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_1\Task_16.java,chapter_1.Task_16,main/1[java.lang.String[]],res,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_1\Task_16.java,chapter_1.Task_16,main/1[java.lang.String[]],in,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_1\Task_16.java,chapter_1.Task_16,main/1[java.lang.String[]],i,5
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_1\Task_16.java,chapter_1.Task_16,main/1[java.lang.String[]],j,4
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_1\Task_16.java,chapter_1.Task_16,main/1[java.lang.String[]],n,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_1\Task_16.java,chapter_1.Task_16,fact/1[int],result,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_1\Task_16.java,chapter_1.Task_16,fact/1[int],number,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\chapter_1\Task_16.java,chapter_1.Task_16,fact/1[int],factor,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\readPage\ReadDocument.java,onlyTests.networkProgramms.readPage.ReadDocument,main/1[java.lang.String[]],args,0
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\readPage\ReadDocument.java,onlyTests.networkProgramms.readPage.ReadDocument,main/1[java.lang.String[]],urlName,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\readPage\ReadDocument.java,onlyTests.networkProgramms.readPage.ReadDocument,main/1[java.lang.String[]],d,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\readPage\ReadDocument.java,onlyTests.networkProgramms.readPage.ReadDocument,main/1[java.lang.String[]],bsu,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\readPage\ReadDocument.java,onlyTests.networkProgramms.readPage.ReadDocument,main/1[java.lang.String[]],e,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\networkProgramms\readPage\ReadDocument.java,onlyTests.networkProgramms.readPage.ReadDocument,main/1[java.lang.String[]],line,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\Resource.java,onlyTests.threads.synchron.Resource,close/0,e,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\Resource.java,onlyTests.threads.synchron.Resource,"writing/2[java.lang.String,int]",str,2
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\Resource.java,onlyTests.threads.synchron.Resource,"writing/2[java.lang.String,int]",e,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\Resource.java,onlyTests.threads.synchron.Resource,"writing/2[java.lang.String,int]",i,3
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\synchron\Resource.java,onlyTests.threads.synchron.Resource,Resource/1[java.lang.String],file,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\wait_notify\Payment.java,onlyTests.threads.wait_notify.Payment,doPayment/0,e,1
C:\TasksFromBlinov_Java_Epam-master\TasksFromBlinov\src\onlyTests\threads\wait_notify\Payment.java,onlyTests.threads.wait_notify.Payment,initAmount/0,scan,1
